structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","180,0","180,32","0,32",WATER
maison_1,"160,87","172,87","172,97","160,97",MAISON
maison_2,"78,121","90,121","90,131","78,131",MAISON
maison_3,"35,124","47,124","47,134","35,134",MAISON
maison_4,"66,57","78,57","78,67","66,67",MAISON
maison_5,"112,118","124,118","124,128","112,128",MAISON
maison_6,"121,38","133,38","133,48","121,48",MAISON
bungalow_1,"105,69","116,69","116,76","105,76",BUNGALOW
bungalow_2,"20,60","31,60","31,67","20,67",BUNGALOW
bungalow_3,"94,37","105,37","105,44","94,44",BUNGALOW
bungalow_4,"128,83","139,83","139,90","128,90",BUNGALOW
bungalow_5,"70,83","81,83","81,90","70,90",BUNGALOW
bungalow_6,"5,104","16,104","16,111","5,111",BUNGALOW
bungalow_7,"8,81","19,81","19,88","8,88",BUNGALOW
bungalow_8,"41,85","52,85","52,92","41,92",BUNGALOW
bungalow_9,"146,119","157,119","157,126","146,126",BUNGALOW
bungalow_10,"9,144","20,144","20,151","9,151",BUNGALOW
eengezinswoning_1,"123,143","131,143","131,151","123,151",EENGEZINSWONING
eengezinswoning_2,"29,41","37,41","37,49","29,49",EENGEZINSWONING
eengezinswoning_3,"4,36","12,36","12,44","4,44",EENGEZINSWONING
eengezinswoning_4,"140,141","148,141","148,149","140,149",EENGEZINSWONING
eengezinswoning_5,"92,96","100,96","100,104","92,104",EENGEZINSWONING
eengezinswoning_6,"67,143","75,143","75,151","67,151",EENGEZINSWONING
eengezinswoning_7,"60,121","68,121","68,129","60,129",EENGEZINSWONING
eengezinswoning_8,"164,143","172,143","172,151","164,151",EENGEZINSWONING
eengezinswoning_9,"95,141","103,141","103,149","95,149",EENGEZINSWONING
eengezinswoning_10,"65,102","73,102","73,110","65,110",EENGEZINSWONING
eengezinswoning_11,"149,58","157,58","157,66","149,66",EENGEZINSWONING
eengezinswoning_12,"163,33","171,33","171,41","163,41",EENGEZINSWONING
eengezinswoning_13,"33,146","41,146","41,154","33,154",EENGEZINSWONING
eengezinswoning_14,"39,69","47,69","47,77","39,77",EENGEZINSWONING
eengezinswoning_15,"114,96","122,96","122,104","114,104",EENGEZINSWONING
eengezinswoning_16,"168,126","176,126","176,134","168,134",EENGEZINSWONING
eengezinswoning_17,"168,54","176,54","176,62","168,62",EENGEZINSWONING
eengezinswoning_18,"147,33","155,33","155,41","147,41",EENGEZINSWONING
eengezinswoning_19,"47,40","55,40","55,48","47,48",EENGEZINSWONING
eengezinswoning_20,"170,109","178,109","178,117","170,117",EENGEZINSWONING
eengezinswoning_21,"137,102","145,102","145,110","137,110",EENGEZINSWONING
eengezinswoning_22,"70,37","78,37","78,45","70,45",EENGEZINSWONING
eengezinswoning_23,"29,105","37,105","37,113","29,113",EENGEZINSWONING
eengezinswoning_24,"129,58","137,58","137,66","129,66",EENGEZINSWONING
networth,20938140
